product_id,full_price,discounted,current_price,product_url,description,ratings,reviews
BQ3207-002,60,False,60.0,https://www.nike.com/t/revolution-5-womens-road-running-shoes-hC41Vf/BQ3207-002,"When the road beckons, answer the call in a lightweight pair that’ll keep you moving mile after mile. Soft foam cushions your stride, and a reinforced heel delivers a smooth, stable ride. Crafted with knit material for breathable support, while a minimalist design fits in just about anywhere your day takes you.Shown: Black/Anthracite/WhiteStyle: BQ3207-002",4.6 Stars,2019.0
DH3158-108,80,True,60.97,https://www.nike.com/t/court-vision-low-next-nature-womens-shoes-ZkMMBG/DH3158-108,"In love with the classic look of '80s basketball but have a thing for the fast-paced culture of today's game? Meet the Nike Court Vision Low Next Nature. Made from at least 20% recycled materials by weight, its crisp upper and stitched overlays are inspired by the days of hook-shots and tube socks. The padded collar and rubber outsole bring comfort and traction for your world.Shown: White/White/Metallic SilverStyle: DH3158-108",4.7 Stars,440.0
FV6603-101,110,False,110.0,https://www.nike.com/t/p-6000-shoes-SGxVgg/FV6603-101,"A mash-up of past Pegasus sneakers, the P-6000 takes early 2000s running to modern heights. Featuring airy mesh and sporty lines, it's the perfect mix of head-turning looks and breathable comfort. Plus, its foam cushioning adds a lifted, track-inspired stance and unbelievable cushioning.Shown: Metallic Summit White/Pure Platinum/Wolf Grey/WhiteStyle: FV6603-101",4.9 Stars,185.0
FZ4178-010,170,True,102.97,https://www.nike.com/t/jordan-6-rings-mens-shoes-PFKJm7/FZ4178-010,"You don't win six championships without some serious skill (and footwear). The design of the Jordan 6 Rings pulls in elements from multiple innovative pairs worn by MJ over the course of his championship seasons. A hidden lacing system streamlines the look, and the toggle lock up top lets you adjust your fit.Shown: Black/White/Metallic Silver/Fire RedStyle: FZ4178-010",4.7 Stars,9.0
511417-136,100,False,100.0,https://www.nike.com/t/air-max-correlate-womens-shoes-29Vjp0/511417-136,The Nike Air Max Correlate sets you up in throwback style with a multi-textured upper and Max Air unit. Its soft foam midsole and breathable upper offer all-day comfort wherever your day takes you.Shown: White/New Green/Bright Mango/BlackStyle: 511417-136,4.6 Stars,99.0
943345-103,130,False,130.0,https://www.nike.com/t/air-max-270-big-kids-shoes-HbtNX3/943345-103,"Nike's first lifestyle Air Max shoe is everything you imagined with the Nike Air Max 270. What we love most (for obvious reasons): the BIG, bold wraparound 270 Air unit to showcase our greatest technology everywhere you go.Shown: White/Metallic Silver/WhiteStyle: 943345-103",4.8 Stars,1592.0
FJ4146-102,115,False,115.0,https://www.nike.com/t/air-force-1-07-mens-shoes-J7xw5P/FJ4146-102,"Comfortable, durable and timeless—it’s number 1 for a reason. The ‘80s construction pairs with classic colors for style that tracks whether you’re on court or on the go.Shown: White/White/MalachiteStyle: FJ4146-102",5 Stars,10.0
DR2615-007,180,False,180.0,https://www.nike.com/t/invincible-3-mens-road-running-shoes-6MqQ72/DR2615-007,"Maximum cushioning provides our most comfortable ride for everyday runs. Experience a breathable Flyknit upper and the robust platform of lightweight ZoomX foam that softens impact. Plus, the midsole of this model is wider and taller than the last for even more cushioned comfort.Shown: Phantom/Total Orange/Sail/Thunder BlueStyle: DR2615-007",4.5 Stars,442.0
DR8785-102,120,False,120.0,https://www.nike.com/t/ja-1-vacation-basketball-shoes-bCx2W3/DR8785-102,"Ja Morant became the superstar he is today by repeatedly sinking jumpers on crooked rims, jumping on tractor tires and dribbling through traffic cones in steamy South Carolina summers. The Ja 1 is a testament to his rise. With an Air Zoom unit, it supports bunny hops and hyper speed without sacrificing comfort, so that you can control your own destiny on the court, Ja-style.Shown: Coconut Milk/Khaki/Black/Coconut MilkStyle: DR8785-102",4.5 Stars,314.0
CT8532-031,200,False,200.0,https://www.nike.com/t/air-jordan-3-retro-green-glow-mens-shoes-Xv0sqM/CT8532-031,"Clean and supreme, the AJ3 returns with all of its classic style and grace. Quality leather in the upper—with that luxurious elephant print texture—combines with visible Nike Air in the sole to make a comfortable, everyday icon.Shown: Black/Wolf Grey/White/Green GlowStyle: CT8532-031",4.9 Stars,1854.0
FV5948-102,90,False,90.0,https://www.nike.com/t/air-force-1-big-kids-shoes-TlVXsf/FV5948-102,"As cool today as when it first dropped more than 40 years ago, the AF1 is a classic you can count on. Its durable construction, Air cushioning and grippy tread will see you through recess after recess. And while they look great fresh out of the box, they remain cool even when covered in scuffs and scrapes. In fact, they might be even better.Shown: White/Laser FuchsiaStyle: FV5948-102",5 Stars,9.0
414571-170,200,False,200.0,https://www.nike.com/t/air-jordan-13-retro-blue-grey-mens-shoes-TBQf23/414571-170,"Throw it back with the AJ13, the shoe originally worn by MJ during his sixth championship season. A new colorway refreshes the legend with premium White tumbled leather and Blue Grey synthetic suede. Iconic details abound, like the unmistakable quilted overlay, panther paw-inspired outsole and holographic eye. Finishing it off, hits of Yellow Ochre make the classic branding pop.Shown: White/Blue Grey/Black/Yellow OchreStyle: 414571-170",4.9 Stars,2423.0
DZ5485-010,180,False,180.0,https://www.nike.com/t/air-jordan-1-retro-high-og-black-white-mens-shoes-Tz18l4/DZ5485-010,"Classic, original, remastered. Ready to hit the streets with sophistication, this black-and-white AJ1 strikes an elegant balance in premium leather. Refined details, retro branding and a sleek white Swoosh bring it all together. Black tie optional.Shown: Black/White/WhiteStyle: DZ5485-010",4.9 Stars,1163.0
