product_id,full_price,discounted,current_price,product_url,description,ratings,reviews
DX7615-601,57,True,38.97,https://www.nike.com/t/star-runner-4-big-kids-road-running-shoes-6TLZQr/DX7615-601,"Because ice-cream trucks, games of tag and races to the end of the street and back can only wait for so long, we made it easy for you to slip the Star Runner on and get going. Soft cushioning in the midsole provides a comfortable, springy feel so every skip, hop and stride you take is one closer to the finish line. The tread grabs at pavement, grass and gravel to give you extra grip while a rubber-wrapped toe toughens up the construction so you can go further in the same pair of Star Runners.Shown: Fierce Pink/Black/Playful Pink/WhiteStyle: DX7615-601",4.5 Stars,94
DX9176-107,95,True,71.97,https://www.nike.com/t/gamma-force-womens-shoes-4TR9Xf/DX9176-107,"Layers upon layers of dimensional style—that's a force to be reckoned with. Offering both comfort and versatility, these kicks are rooted in heritage basketball culture. Collar materials pay homage to vintage sport while the subtle platform elevates your look, literally. The Gamma Force is forging its own legacy: court style that can be worn all day, wherever you go.Shown: Sail/Sea Glass/Coconut Milk/Light SilverStyle: DX9176-107",4.6 Stars,381
DH3162-100,70,False,70.0,https://www.nike.com/t/court-legacy-mens-shoes-75ljqX/DH3162-100,"Honoring a history rooted in tennis culture, the Nike Court Legacy brings you a time-tested staple. Its pebbled upper, heritage stitching and retro Swoosh design let you blend sport and fashion. And, you get to do good by looking good.Shown: White/Desert Ochre/BlackStyle: DH3162-100",4.6 Stars,312
FN6344-001,120,False,120.0,https://www.nike.com/t/dunk-low-next-nature-se-womens-shoes-8Dk7Jr/FN6344-001,"The Dunk returns with classic construction, throwback hoops flair and seasonal colors. Channeling '80s style back onto the streets, its padded, low-cut collar lets you take your game anywhere—in comfort. Plus, this special edition includes metallic charms so you can personalize your kicks.Shown: Sea Glass/Vapor Green/Sail/Light SilverStyle: FN6344-001",5 Stars,4
DJ6525-002,32,False,32.0,https://www.nike.com/t/alpha-huarache-4-keystone-little-big-kids-baseball-cleats-9XHQMk/DJ6525-002,"These game-changers aren’t your grandaddy’s old-school metal spikes. With a design that’s more street sneaker than clunky cleat, you can swing, slide, sprint and strut in true style and comfort. Let the baseball world know what kind of bat-wielding beast you are in a ride that’s plushy smooth, but not at the expense of looking too tame when you break into your home run trot around the bags.Shown: Black/Pure Platinum/WhiteStyle: DJ6525-002",4.9 Stars,107
DM0822-104,90,False,90.0,https://www.nike.com/t/juniper-trail-2-next-nature-mens-trail-running-shoes-lFQ3lS/DM0822-104,"Break away from the norm and dash up that tempting trail in the Nike Juniper Trail 2. Durable material on top and tough traction on the bottom give you a consistent, confident ride for those off-road runs calling your name. It's built for earthy terrain and unbeaten paths, with reliable traction that'll help keep you on course. This special design is part of our ongoing #IYKYK series. It traverses the Pyrenees mountains via the GR 11, using the coastal lighthouses as your guide from the Mediterranean Sea to the Cantabrian Sea.Shown: White/Pure Platinum/University Gold/BlackStyle: DM0822-104",4.4 Stars,165
DH5131-101,115,True,87.97,https://www.nike.com/t/air-max-dawn-womens-shoes-224mWf/DH5131-101,"Rooted to sporty track DNA, the Air Max Dawn is thoughtfully crafted with Air cushioning to deliver a feel-good forecast for your day. Soft synthetic suede and airy textile blend vintage running vibes with modern design. The plush foam in the midsole slants at the heel for added energy while the outsole pattern gives your style traction.Shown: White/Total Orange/BlackStyle: DH5131-101",4.6 Stars,64
DZ3307-003,100,True,60.97,https://www.nike.com/t/air-max-1-big-kids-shoes-qTLjtC/DZ3307-003,"With its easygoing lines, heritage track look and of course, visible Air cushioning, the Nike Air Max 1 is the perfect finish to any outfit. The rich mixture of materials adds depth while making it a durable and lightweight shoe for everyday wear.Shown: Neutral Grey/White/Black/University RedStyle: DZ3307-003",4.6 Stars,47
DV5458-004,47,True,36.97,https://www.nike.com/t/court-borough-low-recraft-baby-toddler-shoes-vHk7xr/DV5458-004,"Start your little ones off on the right foot with the Nike Court Borough. Made for the long haul, this recrafted legend uses a combination of durable materials on the upper and outsole to achieve a classic look with an easy on and off strap for entry. Plus, a redesigned toe box and midfoot give their feet a little extra room so they can charge through the day in comfort.Shown: Black/Bronzine/Light Armory Blue/Playful PinkStyle: DV5458-004",4.9 Stars,123
DM3413-005,150,True,89.97,https://www.nike.com/t/pegasus-turbo-mens-road-running-shoes-pnz45r/DM3413-005,"Let this esteemed stallion help you log the hard miles. Complete with lighter, responsive, repurposed foam and a feather upper, this motley-colored mare is made to help you increase tempo without sacrificing comfort as you push toward a personal best. This immortal is responsibly constructed with at least 50% recycled material by weight while maintaining its tried-and-true everyday ethos.Shown: Black/WhiteStyle: DM3413-005",4.3 Stars,321
